id	screen_number	theatre_id
86	1	20
87	1	21
88	1	22
89	1	23
90	1	24
91	1	25
92	1	26
93	1	27
94	1	28
95	1	29
96	1	30
97	1	31
98	1	32
99	1	33
100	1	34
101	1	35
102	1	36
103	1	37
117	2	20
118	2	21
119	2	22
120	2	23
121	2	24
122	2	25
123	2	26
124	2	27
125	2	28
126	2	29
127	2	30
128	2	31
129	2	32
130	2	33
131	2	34
132	2	35
133	2	36
134	2	37
148	3	20
149	3	21
150	3	22
151	3	23
152	3	24
153	3	25
154	3	26
155	3	27
156	3	28
157	3	29
158	3	30
159	3	31
160	3	32
161	3	33
162	3	34
163	3	35
164	3	36
165	3	37
179	1	20
180	1	21
181	1	22
182	1	23
183	1	24
184	1	25
185	1	26
186	1	27
187	1	28
188	1	29
189	1	30
190	1	31
191	1	32
192	1	33
193	1	34
194	1	35
195	1	36
196	1	37
197	1	38
198	1	39
199	1	40
200	1	41
201	1	42
202	1	43
203	1	44
204	1	45
205	1	46
206	1	47
207	1	48
208	1	49
209	1	50
210	1	51
211	1	52
212	1	53
213	1	54
214	1	55
215	1	56
216	1	57
242	2	20
243	2	21
244	2	22
245	2	23
246	2	24
247	2	25
248	2	26
249	2	27
250	2	28
251	2	29
252	2	30
253	2	31
254	2	32
255	2	33
256	2	34
257	2	35
258	2	36
259	2	37
260	2	38
261	2	39
262	2	40
263	2	41
264	2	42
265	2	43
266	2	44
267	2	45
268	2	46
269	2	47
270	2	48
271	2	49
272	2	50
273	2	51
274	2	52
275	2	53
276	2	54
277	2	55
278	2	56
279	2	57
305	3	20
306	3	21
307	3	22
308	3	23
309	3	24
310	3	25
311	3	26
312	3	27
313	3	28
314	3	29
315	3	30
316	3	31
317	3	32
318	3	33
319	3	34
320	3	35
321	3	36
322	3	37
323	3	38
324	3	39
325	3	40
326	3	41
327	3	42
328	3	43
329	3	44
330	3	45
331	3	46
332	3	47
333	3	48
334	3	49
335	3	50
336	3	51
337	3	52
338	3	53
339	3	54
340	3	55
341	3	56
342	3	57
368	1	20
369	1	21
370	1	22
371	1	23
372	1	24
373	1	25
374	1	26
375	1	27
376	1	28
377	1	29
378	1	30
379	1	31
380	1	32
381	1	33
382	1	34
383	1	35
384	1	36
385	1	37
386	1	38
387	1	39
388	1	40
389	1	41
390	1	42
391	1	43
392	1	44
393	1	45
394	1	46
395	1	47
396	1	48
397	1	49
398	1	50
399	1	51
400	1	52
401	1	53
402	1	54
403	1	55
404	1	56
405	1	57
406	1	58
407	1	59
408	1	60
409	1	61
410	1	62
411	1	63
412	1	64
413	1	65
414	1	66
415	1	67
416	1	68
417	1	69
418	1	70
419	1	71
420	1	72
421	1	73
422	1	74
423	1	75
424	1	76
425	1	77
431	2	20
432	2	21
433	2	22
434	2	23
435	2	24
436	2	25
437	2	26
438	2	27
439	2	28
440	2	29
441	2	30
442	2	31
443	2	32
444	2	33
445	2	34
446	2	35
447	2	36
448	2	37
449	2	38
450	2	39
451	2	40
452	2	41
453	2	42
454	2	43
455	2	44
456	2	45
457	2	46
458	2	47
459	2	48
460	2	49
461	2	50
462	2	51
463	2	52
464	2	53
465	2	54
466	2	55
467	2	56
468	2	57
469	2	58
470	2	59
471	2	60
472	2	61
473	2	62
474	2	63
475	2	64
476	2	65
477	2	66
478	2	67
479	2	68
480	2	69
481	2	70
482	2	71
483	2	72
484	2	73
485	2	74
486	2	75
487	2	76
488	2	77
494	3	20
495	3	21
496	3	22
497	3	23
498	3	24
499	3	25
500	3	26
501	3	27
502	3	28
503	3	29
504	3	30
505	3	31
506	3	32
507	3	33
508	3	34
509	3	35
510	3	36
511	3	37
512	3	38
513	3	39
514	3	40
515	3	41
516	3	42
517	3	43
518	3	44
519	3	45
520	3	46
521	3	47
522	3	48
523	3	49
524	3	50
525	3	51
526	3	52
527	3	53
528	3	54
529	3	55
530	3	56
531	3	57
532	3	58
533	3	59
534	3	60
535	3	61
536	3	62
537	3	63
538	3	64
539	3	65
540	3	66
541	3	67
542	3	68
543	3	69
544	3	70
545	3	71
546	3	72
547	3	73
548	3	74
549	3	75
550	3	76
551	3	77
552	5	37
553	4	36
